,2mem_BtCv_12pt5hr-1,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-1,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-1,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-1,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-1,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-1,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-1,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-1,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-1,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-1,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-1,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-1,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-1,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-1,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-1,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-1,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-1,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-1,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-1,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-1,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-1,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-1,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
11.39317699/250.0935346,12.091493,10.271067,15.751949,12.864237,9.831609,13.345202,18.511998,16.03045,9.871115,18.151926,11.699517,12.944118,11.946548,12.466576,18.087117,12.308542,9.80137,16.158888,15.957913,16.035341,8.429029,11.749946,16.862865,13.203366,13.423707,12.922552,18.274981,11.866621,10.767807,10.503568,17.465859,12.527306,8.357521,14.177796,18.107578,12.193406,7.853959,12.128072,16.273182,10.42964,8.597686,9.098906,13.865636,11.940645,9.367795,10.530701,14.520369,9.808662,9.484668,19.895527,20.624403,12.396679,18.533518,14.421907,18.276972,12.194543,14.18347,15.164801,19.288339,13.207043,13.333178,19.941533,17.680283,15.80996,6.479156,15.597239,9.921059,14.728864,9.901349,14.687124,11.451203,11.541526,11.401948,14.17204,16.746102,13.044933,11.680629,10.289198,15.737906,12.914947,11.151936,12.487006,18.77746,15.510341,14.193184,12.573959,19.712783,11.208588,12.245568,8.636157,17.874762,11.0513,19.263927,12.089529,15.690088,15.001753
0.929718807/282.1869165,18.3748816,24.2999314,31.9170632,24.2846615,18.044183,29.9179123,32.5924309,19.0988855,15.6037538,32.7436459,32.9592951,26.7652106,17.0573565,31.6221872,34.1871296,19.4773161,17.8422187,33.1251654,33.7650003,21.2648781,22.4612926,34.3002518,36.0683409,17.4907633,18.2022881,26.9726272,27.8676833,17.8236283,18.4375404,35.8251406,34.9927079,31.0237025,18.2522231,36.1995046,36.7213319,27.5184522,18.0676983,34.9253504,36.7604446,25.4341294,18.707269,38.0653807,36.0028892,34.8749809,17.2968547,35.1513586,33.9991582,25.9273729,0.7383832,3.0077638,0.3201579,0.2591868,0.2592006,4.05321,0.3247102,0.2664973,0.2579606,3.6434797,0.3084205,0.2726719,0.2891884,3.6114178,0.3454864,0.2687277,0.3117813,3.4926568,1.4040422,0.5997911,0.2966339,3.4063444,0.3625676,0.2675158,24.956671,33.217946,28.5751907,18.8367002,17.7405213,35.004788,25.6155096,20.6530646,18.0672912,38.1621966,27.7403691,29.7091375,20.6256828,37.8261344,28.5834094,29.7995722,19.8848609,34.0621977,27.8180649,19.7604431,22.1553526,35.3215047,23.5865926,20.1532421
12.58828124/256.9664726,2.573858,11.796385,11.389758,14.315677,5.243189,10.377702,8.985895,6.354225,5.477066,8.82219,10.352595,14.194385,5.675824,7.7933,7.122619,11.289057,5.510254,7.155108,10.471847,7.111207,2.814134,10.950187,11.392843,4.768811,4.218022,12.549555,10.762497,7.563136,6.892287,12.780151,11.323672,9.871872,10.14361,12.746492,8.251212,7.630778,9.099293,12.926816,13.214232,6.856378,5.890477,11.176645,8.586248,14.664013,5.230154,13.278328,13.41672,8.62395,4.487285,12.179972,15.122987,8.760522,5.878111,12.837724,14.752382,9.96091,6.002737,12.086235,12.213838,8.960669,5.774296,11.65741,14.159158,10.164018,6.955774,12.921542,13.049309,14.979605,8.036894,12.025248,5.511996,10.763865,5.830799,13.10257,8.497795,7.584508,6.74015,10.879549,9.682788,11.144782,6.467243,12.681222,9.253795,13.676859,7.061713,11.89463,9.56369,10.180787,7.513415,10.829816,9.458764,5.252313,2.96643,9.580395,13.28293,7.247609
8.567321694/177.0407953,10.978397,11.030108,12.4909,6.226391,11.065334,12.829559,4.032464,10.577967,10.329889,16.465033,13.214873,15.122178,11.14963,16.054743,9.178872,13.177018,12.555886,17.777091,17.693699,9.017703,3.676099,15.893668,15.156236,11.46869,10.478378,15.199974,17.568115,6.308419,15.147884,14.119777,18.562747,19.286478,15.098843,10.918772,15.72835,19.747775,16.116262,9.946296,20.470292,21.637129,8.939272,9.330321,12.209491,15.286293,16.391187,4.680554,9.61845,19.594072,7.885086,24.096762,20.737451,12.117372,20.170087,23.695072,15.667227,18.515951,17.257727,32.460574,22.997699,19.938999,23.068538,32.973903,26.48847,21.580128,17.962942,22.576849,25.061054,24.485324,20.566267,27.229473,23.946273,18.304001,6.741785,21.347531,16.697474,10.119904,14.932222,17.32226,20.25576,14.493634,11.593827,13.818358,23.427398,19.562789,14.190087,15.610734,21.212564,17.029654,11.436086,6.037136,26.032558,11.493921,15.361853,11.349075,15.873285,18.906255
8.05700522/170.8294199,6.263716,11.86735,11.22413,9.622425,5.567035,12.253716,12.428925,7.489058,5.146533,11.532928,10.990488,9.343478,5.656494,12.703335,11.648029,6.288357,5.533201,12.276955,12.040224,8.089268,5.166674,11.596022,12.084362,6.1138,6.550333,12.492713,11.829319,5.896031,5.39041,11.75689,11.945667,10.509184,5.812925,10.633232,12.127818,7.79349,5.509768,11.33526,11.60301,6.224446,5.081002,12.277539,11.773901,9.342371,5.03979,11.72745,11.462137,5.758399,6.534012,10.925216,10.842212,6.021727,5.988362,11.585074,11.63057,5.483164,5.641261,11.283441,12.020305,5.286019,6.174864,10.668301,12.245143,6.221278,6.803956,11.49979,11.796144,9.827413,6.955432,11.558381,12.420841,5.171199,8.219964,11.876718,10.985356,7.343723,5.673459,11.276961,10.707434,5.414948,5.654261,11.484964,11.729678,9.64187,6.397576,11.546904,11.747248,10.597712,5.683188,11.717324,12.723001,5.739948,6.343264,11.315601,11.082963,6.308666
2.453732734/121.0297384,26.881384,23.665924,21.768302,17.04921,22.645794,12.674412,22.195648,15.616494,18.215118,22.811831,31.415349,19.179889,12.554434,27.531467,19.733826,17.958585,13.588198,24.113533,25.317738,16.106389,19.184674,33.10277,40.34873,16.550056,20.217721,20.654626,14.528514,13.957673,10.285427,18.731582,15.364869,16.190845,11.535563,12.19677,14.762107,14.00221,10.06974,25.582749,14.83558,12.964112,13.94995,12.821171,16.135812,19.126153,13.602231,30.294269,14.83119,13.872266,19.205015,25.706901,15.453275,20.718028,15.007713,28.852068,18.580478,27.636099,14.576273,30.660139,17.527555,21.414217,13.991461,20.363301,20.750093,17.1734,14.461572,39.583014,20.835072,24.599796,16.392866,20.069359,19.331807,24.958046,13.261869,9.602645,16.04275,14.589745,12.471276,11.928929,17.244404,15.858171,11.573469,13.5085,18.973588,18.330472,13.687019,13.25745,19.865252,19.291361,14.037838,13.569401,19.36346,15.037794,15.549952,14.692132,20.249803,16.479471
12.61092938/158.9891648,18.141301,28.961385,31.595793,34.46018,21.572775,26.954094,23.618977,21.260505,16.150369,26.191138,25.09853,34.166615,19.059638,24.921897,29.378568,26.32597,23.236213,22.717857,28.793694,24.521266,17.028329,25.419878,27.734608,18.892926,17.855942,30.689555,25.323782,25.948187,18.899737,28.538989,27.022076,28.198286,25.212047,27.456837,29.311271,23.722899,25.090968,29.345801,29.114032,27.606637,24.426063,30.294603,27.447057,34.5113,17.800392,29.738926,31.845763,28.503848,17.494766,13.396897,31.81523,29.762505,20.263822,28.422715,31.78764,27.188747,17.934469,27.601498,27.865298,25.543454,18.381862,26.777596,31.831322,28.323905,20.297181,28.394221,29.840801,35.651276,27.680636,27.070368,22.401717,28.561349,21.655061,31.184521,24.480441,21.652519,18.675251,29.879918,25.774453,27.702187,20.174468,29.755477,26.071322,34.44528,20.080963,29.332751,26.039183,8.798899,22.021365,30.512824,25.595068,27.484149,20.170667,30.931733,17.237144,26.142533
1.108585767/154.0875682,3.4414871,5.1027284,5.2431969,5.6822278,4.1556418,6.3412035,6.4556471,4.4815823,4.0433852,7.027443,6.7028484,6.803772,4.7361601,7.5321459,7.2666742,5.1709585,5.0076838,8.7646007,8.2000567,5.9178184,4.5021185,9.5448982,8.6838428,6.2447749,1.3800255,1.3782705,1.3857446,1.3927019,1.4205633,0.9059094,1.4343328,1.9792493,1.0513322,1.1952171,1.6393561,1.3035329,1.0507505,0.8248282,1.4321931,0.9254281,1.111677,0.9678839,1.065271,1.5258038,0.7808957,0.9256765,1.1471266,1.2676463,4.3965635,7.7658285,6.6142368,4.436501,4.5634612,6.4263058,5.9464279,4.2817415,4.2299062,6.7633532,5.8532849,4.1891313,4.6800693,6.8436919,6.3187712,4.6978094,4.5412405,7.3540309,6.2539984,8.0883177,5.1890856,6.8943777,6.6554417,4.9098849,4.9497493,6.7277546,5.5809966,4.0646164,4.296181,6.2594588,5.9471643,4.5465827,4.7421734,6.3221622,6.9166962,7.3190138,5.7622668,6.9730268,6.9803266,8.7082237,5.6263061,7.3696776,7.6144163,6.0741108,6.1001416,7.3049444,7.3149947,6.0148416
4.80497264/232.1193942,6.52448,8.356317,11.135241,12.635384,11.319112,15.852376,18.564068,13.826489,11.313847,19.459987,18.751258,23.397086,11.169896,19.257509,20.758657,18.389732,15.106413,22.945132,23.730953,18.138893,12.841395,27.976816,25.052607,20.231172,1.233834,1.338395,2.250335,1.153118,2.047524,2.882647,2.537594,4.540989,1.52121,3.758593,3.001021,1.605956,1.789661,3.236739,2.510983,1.958719,1.169939,2.943836,3.065825,3.373103,1.825626,4.011949,3.502057,1.885355,7.555827,11.760994,12.363378,9.505478,10.309687,17.636667,19.040157,13.911418,10.515423,17.129938,20.421085,14.037067,13.443897,19.413673,20.245831,15.986811,14.001285,19.812184,19.568658,26.584195,13.360713,19.675114,21.039899,17.358944,7.259519,11.487097,9.429058,7.471027,9.690809,16.402131,15.041299,15.799269,11.071443,16.196737,19.896003,23.547575,13.104963,18.470831,20.226882,26.422607,16.007842,20.242077,21.65848,19.270377,16.096926,20.775687,24.960038,20.776526
8.679190284/221.0666614,19.216906,13.93491,15.846408,12.679775,8.036424,12.827128,17.302162,14.984376,12.09282,12.403505,14.051334,6.907915,12.519917,13.416714,16.772884,11.912136,11.872599,11.670352,17.642071,13.823689,8.674674,12.835614,16.308802,10.796908,18.741294,14.612858,17.967547,7.355952,16.808649,13.917462,17.289303,4.697763,8.089384,11.038201,14.985194,13.644257,4.52294,12.523851,15.299122,11.452905,8.312901,8.132692,15.417663,6.935746,12.894767,11.662278,12.470402,7.130836,13.953739,12.750299,18.019031,10.377096,14.196673,14.003506,16.092267,10.056539,10.446828,12.747974,16.464914,5.329428,9.49989,10.839158,16.489289,8.524916,1.984015,11.907139,13.685773,5.569179,5.141285,10.490649,10.319944,3.701119,20.552318,14.678586,15.864977,14.606536,16.070707,14.57559,15.448908,12.80048,15.11472,12.252334,17.563062,6.078259,16.6455,13.081649,16.18242,9.199815,6.577954,7.754971,17.242442,4.038334,16.166815,11.836757,15.587304,10.494776
3.634616928/117.055979,11.97839,9.06314,11.48956,19.49161,17.16007,15.62629,19.00647,18.11284,17.02831,22.24714,21.56128,26.14328,19.18275,21.56316,23.08815,23.15731,23.90597,27.30801,27.14177,29.24032,22.89285,32.18498,29.06993,29.14392,17.6779,18.32791,19.61674,17.96789,16.06333,19.73523,23.74777,28.21867,18.00775,20.53905,23.57015,24.66159,18.09737,19.29229,22.21573,23.392,17.71865,18.18523,25.35675,31.2635,18.51937,21.68111,21.60096,26.29065,20.78658,34.03656,33.63947,27.60972,39.22675,43.72495,46.73702,37.88268,40.73682,43.74086,48.84718,39.09966,39.05972,47.88464,50.91132,51.70144,38.73699,50.41166,48.86811,64.68112,54.03545,48.36444,51.93429,49.61557,13.80428,18.04178,19.56085,17.5868,15.20812,23.81412,23.52553,22.63351,17.41154,23.84121,30.28784,31.3678,19.14321,28.17089,30.49853,34.713,24.72592,24.49676,32.67757,30.04292,23.81269,32.02488,35.65296,30.12191
4.405738304/87.0086589,6.571341,8.355914,8.266722,9.177922,7.262955,7.774758,5.763521,5.411944,4.715299,9.991979,8.532668,9.339841,3.395176,8.771253,9.697573,6.372061,4.744363,10.289445,10.660309,3.399832,2.965031,11.424746,10.225921,5.696275,25.483827,34.672472,35.287985,24.245912,18.765969,25.309398,30.35239,33.56495,13.355155,12.765208,20.831181,23.684975,11.581097,14.029633,18.870147,23.072011,9.834323,3.495659,13.097342,30.58968,7.776802,10.343102,10.761715,17.823939,20.202987,46.220135,34.44991,14.13354,26.005845,46.332641,49.283091,25.741133,20.241392,43.037769,39.067367,20.819029,21.095105,37.410996,41.624631,21.327026,8.138041,36.364603,39.067597,43.076242,20.273599,27.138357,24.695742,11.415307,18.5232,30.127898,12.85869,14.73011,7.761613,14.365052,18.910112,14.40842,5.270121,6.844782,16.888668,15.725078,4.533616,9.812688,13.152965,12.223887,5.518972,7.933015,15.435042,8.426977,5.290955,11.790121,13.167144,5.998831
13.39080229/485.0042193,8.925821,8.908087,12.180814,16.254991,7.191126,10.379193,11.961241,14.792711,9.270203,10.316413,10.370526,27.626431,10.146154,9.56009,13.121966,7.62204,7.6106,7.754169,12.886357,12.429359,8.803769,8.429954,11.897829,10.593052,7.995204,9.675332,12.466264,8.480481,10.272412,8.53113,13.05884,28.534123,13.629359,12.110247,14.590617,11.459736,8.508452,7.962738,13.22893,7.967382,8.105125,12.825821,15.380022,16.411006,9.469337,10.673135,13.01358,7.94626,12.397979,10.607277,12.885649,7.731213,9.403775,8.536951,13.592229,7.500911,8.714943,9.690416,14.57552,7.204856,9.671834,8.366416,13.86182,7.579856,11.478097,9.513288,11.46654,17.463229,15.318494,9.133618,11.733889,8.061569,16.110783,9.234269,11.642124,10.646062,9.745509,10.623972,11.5936,7.281145,11.220613,13.790283,12.599463,29.371532,9.427293,11.157734,12.269053,32.049017,7.934315,10.754372,13.285743,8.283597,10.097974,10.369862,13.848723,8.014512
1.453739715/483.1898186,4.4780918,8.155809,11.5667843,7.459777,2.4964667,7.4877859,15.8266946,4.6695742,3.7933292,7.8932498,16.0826213,13.003795,3.7957545,9.6815924,14.4589348,2.2514378,3.4234685,8.2002812,19.4158924,5.328705,5.2857779,9.5990196,9.065876,4.586266,0.3070403,0.5779372,0.8007131,0.2444642,0.2278874,0.7653609,0.5311282,0.7308915,0.2520532,0.7277119,0.7144604,0.3246419,0.2385086,0.7692094,1.1917052,0.602358,0.2094625,0.6777643,0.6267315,0.3020708,0.2120668,0.5962258,0.624754,0.2554542,4.0533214,7.1892813,6.9769622,1.8785373,2.8937724,8.779843,6.47369,1.5607368,3.751962,7.6924893,7.269934,1.6164555,3.5827531,7.5317918,14.0089834,2.4213654,4.9664077,8.8538254,10.3519338,11.2119806,3.1860235,8.9477975,16.2895693,2.6900127,3.8729748,9.1896703,10.5303356,5.5796969,2.954366,8.9538314,11.9227306,2.0252961,3.4234955,8.5431374,14.3644092,10.7690722,3.8922689,7.1183558,8.6227951,7.9758292,1.9704508,9.8898735,11.7308252,3.627378,1.2599772,8.4464737,7.370239,3.2310153
4.456316138/172.0982301,6.475528,7.537297,9.944582,12.69236,7.246693,11.592804,12.447152,9.956359,6.784002,14.20435,12.772889,17.884417,7.375439,12.876074,15.218208,12.70126,9.477264,15.399079,16.524316,12.848043,6.716988,15.821323,18.41591,14.184327,5.204008,3.748589,5.769491,4.327659,4.869668,3.697497,4.912153,6.906089,3.796094,3.989561,4.971185,5.129174,2.663419,3.680698,4.62774,4.676353,3.740483,4.05899,3.949974,6.032822,3.476407,3.578951,3.49299,2.831636,8.822204,14.142015,14.447198,10.80185,11.936854,20.214534,20.781329,15.86739,14.022818,20.707289,23.898219,17.321529,17.171952,25.38497,25.696022,21.324355,19.664538,26.846458,27.718338,38.297037,20.478425,28.260566,29.946858,25.239373,7.5667,11.566844,10.986086,9.966132,7.114529,12.473058,12.677111,11.448905,7.441306,13.103104,16.739625,18.582646,8.672493,14.463974,18.388836,21.640307,10.505668,15.758612,20.144315,13.968292,8.933652,16.592028,20.509392,14.863229
11.3886563/681.2586694,13.727219,9.582185,16.74738,10.94874,9.088539,12.667778,12.978015,17.878442,10.822197,12.154599,11.504301,14.475697,13.430934,8.242973,19.12411,12.492025,9.366083,16.654062,16.928768,17.902984,9.253845,11.345058,17.726587,14.761037,8.952846,11.846743,16.883987,12.028799,12.416335,10.67441,15.997276,11.798527,10.281426,8.526992,18.266341,12.824708,9.761204,12.673422,17.613763,14.408621,10.933305,7.90859,13.207201,10.246784,10.806069,9.231094,14.657376,10.146971,9.876627,19.541604,19.715636,17.357261,20.309992,10.370177,19.108499,13.659011,2.204792,16.026376,15.705488,17.665223,15.268584,20.69746,17.320549,20.283774,5.333548,10.749128,9.054895,16.957539,9.758197,10.331003,10.983685,11.382212,11.712903,9.780768,17.2914,14.493658,13.442769,9.577857,11.008306,15.582381,12.563113,6.747384,19.779386,17.222617,15.412888,12.087643,14.170658,12.170279,7.913308,8.175346,13.572668,13.729094,22.161364,8.741765,15.679438,20.035046
13.1433156/282.9580764,3.905987,11.982073,11.805057,17.443665,5.34761,4.209923,13.118453,5.858797,8.898716,5.521062,11.52134,21.083478,7.036016,4.503551,11.236058,2.752347,5.596496,6.876801,16.673877,4.151354,7.391158,6.066333,13.739051,4.17874,3.487126,12.712878,15.183331,3.073448,3.270904,11.971544,11.813374,14.900952,3.424947,5.618896,11.405423,3.675294,3.536079,10.073746,12.892365,3.627498,3.629676,2.83804,12.463288,20.328332,8.145129,11.866404,12.023764,2.087542,2.657524,15.693501,15.010621,3.645683,4.003374,13.055677,13.336123,5.790546,5.14416,6.307482,14.514734,3.12198,8.002641,12.332821,15.941195,4.901333,1.312865,11.728531,14.340462,19.164166,9.453374,11.972596,9.893942,3.804146,3.333484,10.272434,10.401215,8.612921,3.33211,6.475514,9.035133,5.701301,4.521103,4.77136,11.841116,21.906139,3.480318,10.891984,11.367429,13.154995,9.409549,9.242864,11.598095,3.066947,5.144197,4.650268,16.72405,8.733185
8.610318853/83.01364779,11.881298,12.182039,12.748752,11.001467,8.817841,10.878283,12.068904,10.660612,8.537288,12.298005,10.667527,11.528602,7.993277,11.479959,11.326579,7.891499,8.114503,12.000243,12.497408,9.45047,5.770572,11.392421,10.716981,7.619237,12.702775,13.453424,12.475006,8.920535,10.296212,12.346647,11.687629,10.23818,7.944564,11.091059,10.795078,9.155343,7.281224,10.579865,10.300955,7.5517,8.314009,6.540909,10.071496,10.05823,8.396581,10.48812,9.131858,6.576696,9.625098,15.130176,13.672883,9.944972,9.212608,13.045091,11.622422,8.131215,5.92117,12.175135,10.713863,7.651401,5.75012,11.439409,10.676578,7.940681,2.736442,9.941037,9.827459,8.002689,4.632693,7.780343,7.490271,5.13867,11.636634,13.063471,11.81483,10.334579,9.996136,12.245093,10.994618,9.08685,9.525289,10.653833,11.611968,12.027382,10.665122,10.874425,10.679581,10.259648,8.385461,4.957601,11.534582,7.837774,10.617152,9.497445,11.423033,8.924797
13.4009399/567.0074331,9.111607,8.718206,11.535847,15.577709,6.68236,10.047086,11.354315,12.28567,8.563572,9.931919,9.80824,25.060525,9.593483,9.486693,12.548114,6.746631,6.897461,7.594236,11.912283,11.310068,8.468652,8.104691,11.138271,10.188197,7.248377,9.448028,12.039931,7.717166,9.706077,8.875858,13.050324,25.325214,11.787245,11.766793,13.780039,9.895743,7.640948,7.936786,12.352304,7.411659,7.379563,12.47905,14.498239,14.441499,8.774426,10.44497,12.434933,7.307007,10.592782,10.237361,12.415581,6.987598,8.817966,8.644173,12.873217,6.941774,8.017242,9.052991,13.865063,6.719817,8.257398,8.348379,12.896934,7.069151,10.383217,9.26106,11.094971,16.41934,8.273757,8.764883,11.080602,7.216479,14.794868,8.887439,10.853558,9.582705,8.959233,10.395314,10.835732,6.384505,10.450826,13.540463,11.794989,15.442391,8.753606,11.226251,11.578104,28.04513,7.141418,10.298966,12.562653,7.448751,9.557492,10.49889,13.253676,7.371069
3.629839332/131.0716081,12.795062,14.276276,20.646671,19.499286,11.853564,10.935075,16.017878,8.324898,7.180746,12.317837,15.094262,15.004331,17.979528,10.467987,16.707064,10.288326,8.082482,12.490205,17.860311,11.234756,24.164426,14.599322,16.072246,11.699796,12.605594,16.929451,20.440108,13.914935,7.842717,12.751804,18.859753,18.115922,17.61243,12.476916,19.797491,12.655856,18.442221,12.164572,17.95529,13.661267,20.940426,12.839788,17.877618,20.666993,11.705345,13.653559,16.790367,13.812659,11.176664,11.140581,18.830332,10.149551,26.951182,12.437907,17.402565,10.568158,29.462514,11.334972,16.597727,10.796176,31.924767,13.02882,17.723003,14.204952,36.68765,13.528854,15.474855,19.033941,41.591206,13.082793,45.292878,42.426861,10.38973,13.428953,19.21341,9.682769,14.91581,11.409976,13.461778,9.465131,15.498094,9.94718,14.808284,15.229551,20.848864,10.478428,14.906955,16.190187,22.530105,27.633231,16.434638,11.222707,25.201221,11.98332,17.623899,12.271536
10.92093425/144.0668404,5.376049,5.973253,6.283491,7.352799,5.116874,9.653596,10.738233,6.909524,5.719779,13.062372,9.012579,10.058123,7.559778,11.650806,10.739188,7.084877,6.991748,13.245848,13.683981,6.629854,7.769207,14.024103,11.745218,7.558092,4.655627,5.676321,5.79857,2.109594,4.824013,7.435747,8.020205,6.399381,3.53344,7.211196,7.928242,5.409778,3.740724,6.956179,7.109856,5.113112,4.24686,6.296584,8.203166,8.594396,4.482878,7.240435,6.882376,3.28157,4.703016,11.607788,8.241584,3.504746,7.601217,12.212978,10.388082,5.46604,7.617164,13.16379,12.349424,5.45153,9.24772,13.622549,13.104493,7.776359,8.56988,12.576146,11.771566,11.974392,8.710311,12.693376,12.473549,6.367123,5.683583,7.712939,6.610683,4.950035,5.815977,9.932694,9.419628,6.329296,5.417369,10.27997,10.426378,9.661636,6.357219,10.182236,11.601477,9.167602,5.421282,7.647846,12.866913,5.782041,8.019964,10.042916,12.316665,7.156156
11.37661245/478.1871618,10.568213,11.109148,13.587822,12.990061,9.491712,11.341059,15.485315,11.486305,8.704779,12.029042,11.677277,12.903744,11.58137,10.190842,14.983353,12.304131,8.9644,11.098526,14.535203,12.547247,9.029618,10.058694,14.378818,9.312894,9.212019,12.754047,15.365551,12.075107,9.359094,11.588444,14.994778,12.952937,9.85691,10.424553,14.822957,10.931197,8.957991,12.583635,14.70744,10.787845,8.344703,8.298256,13.30741,11.893846,8.312161,11.001598,13.258664,10.013918,8.060489,13.170433,15.445985,11.619523,13.599748,13.061905,14.344938,11.235412,12.690104,13.17745,14.73833,12.060467,11.853199,14.563326,15.191176,12.224004,8.34443,12.658365,10.828417,13.58357,9.884384,12.819244,11.225645,10.424503,10.551041,13.009136,13.411651,10.614535,11.615656,10.662286,14.083515,12.38335,11.249036,10.043246,15.32311,14.337513,12.373021,12.345338,15.72609,12.917635,10.969025,9.7051,15.010387,11.653648,14.747586,11.149782,12.963152,12.77989
8.052296181/152.9367908,10.070958,10.271255,8.724301,9.726114,5.577069,7.941889,8.817976,6.524053,6.094226,8.471681,7.21226,7.59333,8.918239,7.852499,10.182454,6.064139,6.001398,7.180641,9.237239,8.086036,9.016301,7.631402,11.299935,6.352199,10.762027,8.303443,10.493787,8.299846,9.081138,7.429933,8.165072,6.98438,8.207629,9.570064,8.79423,7.756785,6.763723,7.451435,10.213447,8.732296,4.487561,9.739404,7.278709,9.039665,8.655748,11.78257,7.420752,7.746364,7.027855,8.968926,6.376981,8.838505,7.490218,10.313464,9.142305,6.746164,8.240472,8.219063,6.750388,7.049947,10.300862,7.454234,8.417003,9.319018,7.494468,7.211236,7.312145,6.759417,5.953824,7.65031,9.802382,8.214096,10.400294,7.499306,7.272525,6.283546,8.1869,7.30122,9.142928,4.601149,9.751406,8.403737,9.721215,7.623056,8.254437,7.356091,7.510229,7.240948,7.508036,8.242816,7.996327,8.123912,10.876957,7.371457,9.293886,8.782026
12.59231609/158.9947172,7.316963,11.537175,12.753521,14.184187,6.125773,9.122203,9.703599,9.084565,5.859514,10.459697,10.672115,14.224523,6.334749,9.686341,11.516397,10.278917,9.850347,6.975734,11.382028,7.846486,5.855264,5.932444,10.225914,5.852246,6.865183,12.201185,11.25833,10.977362,7.020874,12.170156,9.640607,11.019131,11.062664,12.219944,13.179337,8.734673,9.062646,11.954449,12.429205,11.370336,10.327718,12.562063,11.818981,14.276172,7.164634,12.612408,12.34628,11.832059,6.526658,12.076218,13.688076,11.704042,8.007295,12.373209,13.502916,8.481752,5.208701,11.690086,11.94653,7.077917,7.095661,11.33674,13.588813,11.270363,7.782193,12.233449,9.529978,12.018486,8.355725,11.818413,6.483986,11.131789,8.723142,7.85619,8.595219,9.113702,8.165157,13.248897,10.466424,11.149426,8.410689,12.586489,7.724588,13.705476,4.790724,11.561924,10.461265,11.138382,9.328844,13.226736,11.288541,6.910714,4.762179,4.970459,12.438591,11.441905
