,2mem_BtCv_12pt5hr-1,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-1,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-1,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-1,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-1,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-1,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-1,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-1,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-1,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-1,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
2.850432467/355.1957492,1.3256983,1.4144441,1.5589233,1.3888725,1.6290114,1.4321025,1.5495877,1.5513631,1.5307154,1.6608888,1.6163208,1.6347326,1.2785555,1.5976324,1.6771077,1.6664645,1.7903643,1.7929028,1.8779408,1.8614305,1.8228897,1.8546249,1.4924594,1.3597875,1.3079325,1.2406454,1.4898196,1.492823,1.5900751,1.4618254,1.7215342,1.5554674,1.5484383,1.3508738,1.5771356,1.6073473,1.6065782,1.7161835,1.5618214,1.6131034,1.8199283,1.1435221,1.7492639,1.4356958,1.3059934,1.5197517,1.5828512,1.3743642,1.5491299,1.3704966,1.5877614,1.6534128,1.606586,1.3480354,1.7372875,2.0834148,1.732672,1.6859443,1.6046474,1.6958104,1.1433303,1.7107272,1.7501447,2.0079792,1.3996329,1.2376463,1.3929889,1.2688606,1.4952402,1.4484701,1.4402867,1.5040492,1.4643092,1.4903397,1.6197976,1.4697525,1.620735,1.533476,1.5634818,1.4147158,1.6382025,1.798484,1.7908295,1.6458069
3.015422385/289.1617759,1.976349,1.76916,2.26712,1.705417,1.975394,2.162441,2.381663,2.018975,1.714755,2.448832,2.562356,2.236477,2.139957,2.423332,2.715705,2.364268,2.694259,3.02789,2.559777,2.810914,3.099308,2.584031,1.827948,1.755292,1.809869,2.256726,2.422171,2.377109,2.266165,2.388701,2.669891,2.512786,2.255522,2.563284,2.804722,2.915908,2.512978,3.337212,3.163893,2.673998,3.050084,1.961927,2.823768,1.342744,1.36462,2.036652,1.858258,1.897233,1.936859,1.83286,1.85701,1.958091,1.831975,1.816241,1.842785,3.478519,2.033041,1.899337,1.898347,2.212233,2.127408,1.835935,1.898242,1.946993,2.325027,1.895319,2.14133,2.181107,2.042514,2.152851,2.05511,2.093,2.437052,2.086842,2.245777,2.250037,2.487675,2.28474,2.635228,2.21634,2.478776,2.621716,1.799327,2.511594
3.069409053/218.1384185,1.3629605,1.2111223,1.5752662,1.7215069,3.554941,3.094631,3.6437431,3.3138983,3.6909325,4.2740666,3.9023085,4.0941482,3.4188639,3.9671093,4.4369688,4.4707619,4.5312742,5.0817939,4.952004,4.8338712,4.9291064,5.1566672,0.4768152,0.7104682,0.9196304,0.3724222,0.625259,0.6156187,1.9029846,0.590914,0.742308,0.7290406,1.9900136,0.4615612,0.7163689,0.7493947,2.056656,1.3000272,0.5331094,2.3685046,0.6923521,0.4392662,2.4038377,2.4456198,2.5211406,2.7292323,3.2643978,3.1914727,3.1524452,2.9436684,3.4141688,3.6025766,3.4797365,2.9536123,3.8820919,0.97302,3.8894746,3.8557139,4.1207844,3.9579258,2.9969216,4.042523,4.2790591,4.7913538,2.4542217,1.5423609,2.3061012,1.7361019,2.7310484,2.7577769,3.3946078,3.5369282,3.4410912,3.4675338,3.9651524,3.9402103,3.8981337,4.0329184,3.8155487,3.3581278,4.6450357,4.3140616,4.7833397,4.6618185
2.708206383/248.1489814,1.2852897,2.3276862,2.0752864,1.1166418,2.0960579,2.2027256,1.9832625,1.4660971,1.6488153,2.2359824,2.1397316,1.7696683,1.8765694,2.3061665,1.9473814,1.7704135,2.7032369,2.5234886,2.118518,2.7424366,2.3022453,2.1756585,2.1866056,1.8761656,1.2613046,1.3696965,2.0450603,2.0045752,1.4332147,0.7956116,2.119972,1.942546,1.4609803,1.3194567,1.8783564,1.8764606,1.675106,1.9360796,2.0409495,1.7983259,2.4336329,1.9906072,2.4296655,1.8220773,1.6356346,1.2434473,1.6648687,1.8987236,1.1142075,1.4009555,1.6306456,1.8476384,1.2153379,1.4866381,1.8047785,2.0795025,1.3078239,1.8106252,1.7954518,1.3476412,1.5439529,1.8633207,1.8522888,1.4245014,1.4940304,2.0081281,2.0201229,1.1660988,1.8817636,2.2769538,1.9358507,1.5042713,2.1159285,1.9641047,1.6835235,2.1219803,1.9326336,1.8451948,2.160222,1.9053055,2.109287,2.3914332,2.4601221,1.9083879
5.344461654/149.132299,2.790726,2.107791,2.097874,2.28296,3.460282,2.15025,2.080314,2.217364,3.281188,2.571509,1.900718,2.535708,3.070057,2.311411,2.028913,2.379614,2.3947,2.340794,2.526416,2.302652,2.429267,2.473429,2.25534,1.893294,2.370251,3.331521,2.165224,2.182612,2.486946,3.353614,2.402391,2.033141,2.242434,3.598118,2.263948,2.108129,2.40233,2.412481,2.194745,2.39808,2.403063,2.230825,2.235392,2.470604,1.750783,2.516133,2.398969,1.962474,2.285377,3.06779,2.42684,2.089511,2.523456,3.349754,2.427756,1.852968,2.642813,2.451736,2.269006,2.340979,3.477002,2.515722,2.183996,2.593478,3.645346,1.909811,2.818414,2.144978,4.128582,2.284165,3.367994,2.415633,2.270581,2.861925,2.340239,2.295731,3.40803,2.38329,2.299422,2.775453,2.73008,2.26051,3.435789,2.435011
3.087544852/513.1924743,2.1755326,2.6803826,1.9436417,2.1126953,1.5152144,2.9958555,2.7224329,1.8870262,1.8308761,3.021266,2.8212075,2.5570808,2.0903633,3.166964,3.1066529,2.6196754,3.3562238,3.1839816,2.4590845,3.3705038,3.1880243,2.8554216,0.147001,0.1438804,1.2593667,0.1721378,0.3547576,0.3563519,1.5034905,0.2107111,0.3480181,0.1458665,1.6488602,0.3089578,0.3842316,0.1800968,1.6675788,0.1928959,0.1567236,1.8179217,0.419025,0.1668046,1.774311,2.6417815,2.680561,2.4275442,2.8690528,2.835619,2.6441723,1.9115551,2.9091415,2.8590524,2.6825396,1.782231,3.2210267,0.3211323,2.8239955,3.4589014,3.6411124,1.3046855,3.8221612,3.4881297,3.4098984,3.1355164,2.0417227,2.2204288,2.9798895,2.3733327,0.8034821,2.8927681,2.8438842,2.4451879,2.9241969,2.9030754,2.7179539,3.1340843,3.8081553,2.4606614,3.420955,3.091132,2.8692318,3.4052033,3.2144145,2.9669928
0.432274159/156.0755677,13.9938319,10.8228475,12.2199428,8.835516,13.2878661,13.9156579,13.6493367,11.5451181,13.6784945,18.6668079,19.2962261,13.8076016,19.3654817,15.8312735,21.5663971,14.5479005,19.7403478,19.6237687,16.8127788,21.0781875,15.414717,17.6008835,9.9472876,11.3387856,8.0309393,16.2764156,12.4035663,10.7483442,11.6852924,18.0998439,14.1668443,17.9443986,11.5954648,19.8658093,14.5373666,17.1928275,13.8373289,18.567758,17.8114075,15.4356174,17.5591583,12.3747998,17.856341,1.542365,1.8316376,4.0631901,3.0941941,1.4490211,5.2382392,1.1126455,1.4885768,1.1883334,5.3559857,1.7306335,1.2828215,19.1873737,3.119798,1.3976788,0.9006265,3.6781837,2.3667589,0.9663704,0.7427294,0.6869113,10.528609,7.1652707,7.4892554,6.7167484,10.5507922,11.8850765,11.63033,11.9578309,13.4081227,12.1664866,13.410212,13.6110984,16.0985158,14.4714675,17.663343,13.952067,15.9901104,18.8394982,17.0920158,17.016578
3.158911981/153.0908242,3.641866,2.428832,2.76957,3.07175,4.72001,2.899089,2.763036,2.995961,3.86718,3.36432,2.786815,3.482793,3.452381,3.293412,3.172258,3.385587,3.690137,3.311629,3.836613,3.703391,3.545179,3.911924,2.749769,2.837695,3.141395,3.831058,3.236873,2.543247,3.566905,3.982949,3.440555,2.821931,3.370963,3.938227,3.387255,2.722598,3.477005,3.691352,2.985484,3.655418,3.992188,2.555358,3.400322,2.928688,2.296219,3.046841,2.678579,2.214478,2.44952,2.98995,2.690784,2.391037,2.629759,2.986109,2.790679,3.494133,2.654751,2.613862,2.430004,2.358831,3.380907,2.517879,2.425825,2.792951,5.004546,2.688592,3.595362,2.952367,5.69688,3.095313,4.19524,3.279218,3.179164,3.850806,3.351118,3.250956,4.05393,3.273295,3.214362,3.368733,3.485595,3.518712,4.73838,3.54439
2.653777121/505.3204082,1.626267,1.88766,1.906461,1.502381,1.96201,1.922726,1.927346,1.548319,1.973219,1.91419,1.598661,1.504927,1.777369,1.765459,1.780282,1.632451,1.899472,1.738915,1.427661,1.860833,1.845557,1.421817,1.953182,1.919898,1.638986,1.905032,1.657557,1.979078,1.657051,1.833684,1.847876,1.910358,1.390955,1.745141,1.643159,1.888494,1.776582,2.124022,1.951546,1.495625,2.005134,1.694662,1.690304,2.223198,2.049941,1.847452,1.790976,1.968143,1.752143,1.761701,1.785881,1.828801,1.665107,1.811837,1.740392,1.922516,1.76402,1.718824,1.728017,1.637969,1.139001,1.578007,1.635188,1.643249,1.903512,1.652756,1.869984,1.521522,1.931011,1.664244,1.668345,1.574295,1.67662,1.740546,1.545514,1.721112,1.640711,1.464235,1.623181,1.527477,1.758579,1.840153,1.668347,1.759143
5.197851683/263.0673836,2.6240021,1.376587,1.2980858,1.6967657,2.6538981,1.3538606,1.2536273,1.8427778,2.7082844,1.7848855,1.25444,2.1196665,2.8736328,1.3500804,1.1280904,1.986839,1.2688822,1.401468,2.006057,1.4846171,1.1055153,2.1437577,1.3910872,0.482125,1.8925154,2.9958348,1.9945173,1.2371017,1.9103822,3.0893548,1.5970119,1.0346385,1.8695574,3.1591245,1.7958866,1.3920679,1.960944,1.7548953,1.2853122,2.0213089,1.5135228,1.765532,1.5850541,2.2828079,0.658448,2.1600603,2.137649,1.0355646,0.1864763,2.0237203,0.8267834,1.6210712,0.3085485,1.9558532,0.8229994,0.8807343,0.5370479,0.705516,1.1529924,1.2961099,3.2470234,0.8491228,1.4007468,0.7546319,3.2033038,1.3136635,1.878439,1.7385901,3.3290082,1.6730454,2.7243532,2.0579346,1.3884199,2.0952034,2.0317973,1.4436786,2.7770804,2.1428391,1.4620509,2.3248226,1.9689872,0.8726247,2.783816,1.9682247
2.389650385/176.070463,2.702324,3.043044,2.789744,2.313277,3.050348,2.832279,2.815417,2.433114,2.885929,3.240044,3.137406,2.740501,2.728024,3.156838,3.413246,2.894324,3.760269,3.794654,3.165518,3.872227,3.898988,3.349347,2.891445,2.978694,2.307117,2.680018,3.344591,3.026976,2.531471,2.790891,3.607675,3.386131,2.542763,2.813301,3.663857,3.567036,2.789956,4.32419,3.684434,2.977327,4.407458,2.498958,3.260281,2.282849,1.358767,1.398624,1.64798,1.089433,1.924806,2.29107,2.303529,1.612251,2.060504,2.246854,2.768732,4.614529,2.582869,2.999646,2.44821,1.772704,2.255062,3.417533,2.793544,2.614437,2.730235,2.436405,2.213289,2.186357,2.79403,2.759643,2.333112,2.614939,2.867778,2.508546,2.887183,2.955154,2.916233,2.864114,3.30388,2.482086,3.231399,3.72515,3.148761,3.315715
0.649877085/169.0968459,2.075129,1.895205,1.837216,1.62273,1.662925,2.010038,1.950068,1.62815,1.601389,1.465571,2.2737,1.893534,1.947877,1.966287,1.802925,1.961947,2.054556,2.738297,2.143765,1.998243,3.064429,2.219316,1.87274,2.180724,1.896852,2.527999,1.387175,2.423443,2.005871,2.426177,1.491412,2.417875,1.8572,2.262472,1.174463,2.229483,1.236363,2.070477,2.213733,1.96594,2.071618,1.301994,1.838895,2.892032,1.668875,1.991406,3.277376,2.975334,2.140349,3.07258,2.824452,4.635612,2.177232,3.180857,2.824078,2.467452,2.79695,3.655988,4.454133,3.01746,4.737256,4.193161,5.28067,3.864733,1.941415,1.31419,1.60762,1.376129,1.322444,1.107691,2.08853,1.579667,1.859378,2.050508,1.87628,2.019418,2.761833,1.787211,1.655075,1.459171,1.959768,2.593919,1.743287,1.618441
3.33576592/532.2953932,1.1241312,1.8944937,2.0178079,1.7384789,1.8991669,1.7342326,2.0839616,1.8439661,1.6871647,2.0011694,2.1336113,2.1549113,0.8802637,1.9610281,2.3104378,1.9061202,2.2910134,2.4258762,2.1186226,2.3781496,2.4718786,2.1844788,1.9961452,1.8656401,1.7075776,1.4062632,1.9929743,1.9675541,2.0905889,1.5022705,2.3186569,2.1120125,1.7902318,0.9332636,2.011727,2.2253385,1.9921665,2.2523279,2.1615377,2.1519912,2.5455503,1.3022818,2.3042968,1.8566854,1.8008446,1.9392184,1.922089,1.7531328,1.7588828,1.3885273,1.8419622,1.984817,1.8220597,1.3439005,1.9028792,2.8698802,1.9815688,1.9325499,2.060611,2.1854675,1.0181347,1.9589228,2.1841399,2.167043,1.6298215,1.512454,1.7394117,1.5220666,1.3143017,1.71204,1.8712641,1.8647215,1.87696,2.0669579,2.1876481,1.7531171,2.1340226,2.1016788,1.9490391,1.791026,1.901993,1.991164,2.4489842,2.0405428
2.900375118/359.1031744,1.389579,2.517227,2.150747,1.777358,2.15191,3.2484,3.376982,3.009121,2.723873,3.721068,3.845812,3.302221,2.098334,4.074746,4.774295,3.377008,4.174374,4.613458,3.721256,4.499115,4.715232,4.127629,2.268526,2.078059,1.69689,1.841805,4.128745,3.128776,2.853439,1.893331,3.67924,3.562389,3.351497,1.795115,4.285889,3.431054,3.5261,4.43442,3.454633,3.645477,4.033644,2.613934,3.74729,2.741161,2.671259,1.976422,4.014493,3.456285,2.784599,2.810915,4.088142,3.591103,2.886451,3.403567,4.826121,2.892,3.088822,4.665523,4.558705,3.271143,2.789164,4.516968,3.796748,3.739393,1.971686,2.530346,2.664273,2.065625,2.190289,5.959674,4.427588,3.358384,5.11931,4.119634,3.664204,5.557494,4.304606,3.702974,6.04495,3.688735,4.13618,5.58013,4.497616,3.670176
0.594473958/259.1284015,2.0501948,0.6396395,1.4649117,0.912837,1.9115429,1.878536,2.2270885,1.9551269,1.7293192,2.5797842,2.6015954,2.1779684,1.9353287,1.7684891,2.7314361,2.0314035,2.3323563,3.3745868,1.9905416,2.2069711,3.9609405,2.1587517,1.6696716,1.8615359,1.8682063,3.1592924,1.9746239,3.0607118,2.4204703,2.8188613,2.5958861,2.5364097,1.9818648,2.398623,1.5203752,2.5264247,2.1043468,1.7015172,2.668737,1.9742259,2.1390902,1.1818499,2.0131239,3.4480287,2.7104313,2.9144594,2.8096742,5.0602756,2.7234051,3.6703283,3.1230361,4.7976791,2.8141375,2.8846177,3.3917438,2.2172819,3.9458098,3.2469907,4.5658326,5.2602966,3.2725691,3.1881597,4.4859943,4.0876819,2.597928,0.9060404,2.6808605,1.5803806,3.0983878,1.929716,3.8033415,2.7833804,1.8998079,3.3961268,2.7132874,2.0582865,4.478798,2.4347357,0.9315164,2.5469926,2.4620146,2.5141726,3.3612663,2.392284
2.60042577/302.1494041,2.5051951,2.9005511,3.0220725,2.9431141,3.4924854,4.5816223,4.418081,4.0625777,3.5169071,5.2822658,5.0090432,5.0343144,3.0209213,5.0114448,5.8242557,5.1580957,6.1003573,5.9953606,5.7737027,5.9650198,6.4561519,6.0051089,2.4537186,2.05575,2.1576691,2.4383256,2.925287,2.4277906,3.1625216,2.3822318,2.5457344,3.7637447,2.927595,2.158272,2.6194009,3.1507966,3.0380569,3.4158643,3.4393309,3.6491389,3.8436229,1.476137,3.3551004,3.04171,3.2993613,2.6859354,4.6995078,4.5556568,4.0726155,3.360583,5.2160881,5.5984667,4.5179882,3.7494524,6.430596,2.9702414,5.4343572,6.4999141,6.8829039,6.3087416,4.4476851,6.801181,6.9056704,6.8231622,2.7623817,2.5213798,3.7416665,3.0474243,2.5270255,4.3017119,4.2931307,4.1501164,4.7991659,4.4378409,4.6703206,4.7674183,5.0568803,4.6622882,5.8150129,4.7995094,4.9040509,6.5770775,6.5506376,5.0546335
6.132491728/253.1219813,1.6526977,1.3625659,1.5382988,1.7646609,1.7547603,1.8396219,2.0706092,1.5604924,1.4684004,1.946444,1.5461648,1.177299,1.138071,1.7281675,1.6554937,1.5907507,1.4476965,2.2538736,1.7278396,1.9139102,2.1777013,1.6910361,1.9136982,1.9680184,1.7487406,1.3790196,1.7256364,1.9671006,1.7768036,0.8318784,1.9926081,2.0688853,0.9787389,1.363793,1.2751398,1.9833271,1.6397491,1.3895687,1.7662659,1.5952768,2.0110429,1.3599946,1.6102277,2.1400643,1.9485694,2.0214367,1.7742146,1.7397244,1.7261877,1.1200744,1.6944221,1.8506879,1.6242521,1.2112047,1.3273682,2.1617316,1.5057897,1.5503816,1.6805148,1.7466075,1.2853303,1.2888245,1.8863505,1.2171992,1.2999482,1.5840914,1.73629,1.5221692,0.8842896,1.7453546,1.1799171,1.6922789,1.6238235,1.6041117,1.1508106,1.625202,1.7272162,1.6093268,1.6363376,1.4191211,1.670727,1.8235871,1.7566594,1.1331858
3.502259022/303.143249,1.4794643,1.6164233,1.6398727,1.4803954,1.9332764,1.9512857,2.0131687,1.8917231,1.710369,2.2808652,2.1063068,2.0294439,1.5740779,2.1800953,2.2868151,2.2006138,2.6807571,2.461471,2.4863432,2.7722748,2.576656,2.6271316,1.6698772,1.5639183,1.4857628,1.5857078,2.0045562,1.895194,2.0102574,1.51642,2.3226653,2.2089683,2.0079188,1.5757258,2.1918932,2.272895,2.0246099,2.475041,2.2218936,2.1639253,2.6808142,1.2970004,2.3151427,2.0549474,1.3614863,1.8638959,1.1738222,1.092128,1.9235868,0.8321848,1.314957,0.9331694,1.6334637,0.96586,1.5085135,2.7903705,2.0327412,1.3877521,1.3015455,1.6518938,0.9270731,1.4251636,1.2007814,1.9471658,1.6986531,1.2443627,1.4739608,1.3237413,1.6087007,1.8891382,1.7297786,1.8777762,2.0386256,1.8034038,2.0805561,1.9728199,1.9416765,1.9835351,2.1218355,1.7655053,2.162819,2.597538,2.3212555,2.2810647
3.315174031/329.1567802,2.99018,2.564053,2.940089,2.471736,3.385955,2.785301,2.630733,2.433786,2.566312,2.637982,2.643044,2.523532,2.103226,2.796943,2.565275,2.539667,2.882446,3.042883,2.322635,2.830105,2.664039,2.176842,2.481521,2.449871,2.414966,2.482922,2.670649,2.740855,2.822784,2.266091,2.930284,2.404104,2.670996,2.274484,2.900372,2.878037,2.733113,2.930357,2.823314,2.700786,2.809979,1.451927,3.110417,3.012492,1.949857,2.006869,1.967996,2.021665,2.203195,2.238742,1.846038,2.409468,1.845985,2.167052,1.902852,3.116183,2.268144,1.764965,1.912619,1.598084,2.100976,2.036268,2.111756,2.300028,3.770409,2.297711,3.166323,2.198047,4.112142,2.444533,3.154108,2.275644,2.567228,2.966073,2.205855,2.088637,2.921339,2.183515,2.056908,2.457179,2.272829,2.130943,3.250147,1.924406
2.800754646/234.1333932,1.7350614,1.6303304,1.76706,2.0255382,3.4403726,3.1317854,3.4059198,3.4644761,3.4570522,3.7007649,3.7279593,3.9532935,3.3765858,3.6277373,4.1903291,4.1963497,4.4978996,4.4580741,4.6833167,4.9915879,4.75325,5.103278,0.8604949,0.4082906,1.0124789,0.6516071,0.6371265,0.6708693,2.0260016,0.3906936,0.4385251,0.6505339,2.0214765,0.6096009,0.6545148,0.5041719,2.0407534,0.7326369,0.5406682,2.3132369,0.8158434,0.4964732,2.4445471,2.2441931,2.2094681,2.4232138,2.8743149,3.2038495,3.4600605,3.2983365,3.2549782,3.4507508,3.5653914,3.3899498,3.7414901,0.674011,3.7920042,3.471855,3.9469059,4.006807,3.6039104,3.5760881,3.9918875,4.3687548,2.2729435,1.757772,2.1195932,1.7875528,2.7951494,3.1256772,3.4265444,3.6701605,3.4526278,3.4523512,3.9661253,3.5049604,3.8655653,4.0154177,3.7514908,3.4407068,4.4688964,4.2257156,4.5715047,4.6472631
4.70613998/191.1062734,2.3960867,1.7179087,1.0741183,2.0053915,2.9076687,1.7095081,1.3724675,2.0331989,3.0733046,2.0585734,1.3511303,2.2810007,2.8621294,1.6665224,1.2500187,1.7728267,1.1204209,1.2219224,2.2239464,1.4223789,0.9845923,1.7235979,2.005288,1.753065,2.0665064,2.8442796,2.0527742,1.0450724,2.2950615,2.9622987,2.1366156,1.0120058,2.0489123,3.0464134,1.3511382,1.6533939,2.1439081,1.8162876,0.8684215,1.5564295,1.4504659,1.9242428,1.9594878,2.280372,1.4873362,2.36786,2.1611202,1.6532589,2.0753334,2.821912,2.1584243,1.214777,2.2052224,2.9801174,2.213309,1.119614,2.3185475,2.1775471,1.2871946,2.1292447,3.0649908,2.2349598,1.7562505,2.3531649,3.0097554,1.6941532,2.1733753,1.9197982,3.4767843,1.6869663,2.6663601,2.1399368,1.5154588,2.2154203,2.1734059,1.8254736,2.4722999,1.5718387,1.8339713,2.0892273,1.9849301,1.0666647,2.6791729,1.7701366
2.410221047/256.115512,1.0888145,1.2540537,1.4430161,1.2326926,1.5218503,1.9756951,2.2206502,1.7213668,1.4777289,2.3790717,2.3844261,1.8127106,1.050147,1.9356229,2.7117842,1.8335625,2.544333,2.5792959,1.854267,2.619896,2.6983449,2.0673467,1.2809584,1.3850761,1.1914901,1.1305817,1.5772629,1.5899107,1.3778039,0.877377,1.4532098,1.9450674,1.1156556,0.5035009,1.3587232,1.4273356,1.3213894,1.2906964,1.471081,1.3338766,1.6513655,0.6160449,1.3638878,2.2467534,2.1876646,1.5779808,2.6705368,2.6940043,1.8853822,1.9736257,2.9402787,3.2013531,2.0552893,2.4163796,3.4266628,2.0051956,2.4592811,2.8240791,3.1507118,2.4979241,1.5676098,3.0074538,2.8977299,3.1769185,1.2962381,1.1620904,1.5550919,1.1254369,1.8798905,1.8268649,1.861101,1.6399581,1.8056982,1.6086164,1.7080725,1.7590321,1.6050173,1.5312389,1.6197195,1.4438642,1.5070256,2.2608499,2.3450732,1.5352778
2.734049686/229.1061266,1.527329,2.268543,1.709682,2.218661,2.444962,2.077693,2.328846,2.244185,1.584446,2.222032,2.288466,2.314893,1.991646,2.06987,2.306763,2.288104,2.102549,2.375799,2.44773,1.955397,2.392205,2.272669,2.385125,2.387724,2.360269,2.247565,2.506581,2.13936,2.329192,2.209216,2.651001,2.419874,2.100772,1.571948,2.42352,2.185612,2.225488,2.489858,2.167199,2.259062,2.875907,1.69413,2.086499,2.474692,2.399532,2.387432,2.165006,1.447894,2.098238,1.710603,1.465764,2.079635,2.114134,1.333058,2.112173,2.738541,2.257281,2.043198,2.031997,2.187636,2.022182,1.877053,1.964707,2.279384,2.490981,2.077141,2.258952,1.579987,2.227932,2.014508,2.338311,2.04112,1.983783,2.187614,2.209084,1.680048,1.576736,2.050908,1.544735,1.90351,1.52311,1.917209,2.3041,1.897168
6.992646352/344.3153762,1.3902096,2.9739401,6.2845321,1.2574971,1.717558,2.4125245,1.6604662,1.282909,1.4842394,2.2113912,1.7043805,1.7083888,1.3874842,2.9111664,4.2480461,1.6734513,2.6560314,2.8206966,1.9628468,4.9229812,2.7122987,2.1330543,2.6730485,1.234272,1.4265174,1.0327397,2.5076948,1.4636658,4.731464,1.0137208,2.674853,1.5932661,6.3343317,1.4586736,1.6551421,1.552872,6.7513251,2.0604933,1.5026606,2.6854382,2.3517078,1.3708967,8.0572656,4.0106191,1.337358,3.7389707,3.5477786,1.5969075,1.5932462,1.1516683,3.4619197,1.7271086,3.4856303,1.2506789,3.2555466,4.1454138,5.1613647,1.9798828,1.842802,5.5058588,1.1780915,3.2868007,1.9516593,3.9649197,1.6754475,1.3670381,10.1346969,1.7568803,1.419835,2.3152206,6.8778974,1.0915461,2.6290835,5.5475899,1.0985467,2.7489881,9.8771817,1.0960826,3.1866093,6.453847,1.3084232,3.6124946,5.7977769,1.2800383
4.528459912/238.1381243,1.4319125,1.4403507,1.1558071,1.9207694,2.2848343,1.4526045,1.2331801,2.149522,2.7667545,1.6103474,1.097693,2.3488942,2.6699655,1.4201598,1.1252334,2.2187135,1.5960393,1.3447738,2.1941245,1.6799015,1.3696074,2.0876852,1.7773105,1.0392114,1.8624098,2.5121116,1.7091567,1.1067532,1.9847436,2.8396688,1.6780019,1.0480126,1.8951841,2.5894788,1.5622023,1.1448382,1.8536782,1.9199006,1.1587507,2.0432393,1.7723958,1.7861141,2.6012165,1.9070967,1.0630613,2.2839254,1.7758735,0.9445785,2.2226073,2.8327223,1.6249708,1.1237154,1.8332736,3.3290667,1.844058,1.5949919,2.1200536,1.7710941,1.2394295,2.2283768,2.9832435,1.9128568,1.0211432,2.2871125,1.7529583,1.1386526,1.2268942,1.3119323,2.3152827,1.3248028,1.3980399,1.8934083,1.2936366,1.2944018,1.936098,1.2359196,1.4243638,2.0283708,1.4345055,1.2004581,1.8165575,1.4496989,1.3937954,2.1170013
7.266765013/743.5516527,1.828431,2.110646,2.021988,2.125258,2.620839,2.130321,2.18753,1.945514,2.530746,2.076761,1.735962,2.090673,2.085468,1.957322,1.978493,2.065413,2.090575,2.072816,2.051849,2.130851,2.208187,2.137167,2.107271,1.987606,1.927023,2.081436,1.884849,2.173256,2.224277,2.057513,2.40039,2.121679,1.773479,1.503806,1.82376,2.116133,2.098789,2.440826,2.186253,2.071891,2.381312,2.024058,2.183977,2.394722,2.170454,2.386535,2.273777,2.216875,2.324541,2.271675,1.978542,2.088025,2.019601,2.459984,1.923274,2.471384,2.312753,1.977629,1.90075,2.324701,1.311752,1.868074,1.983454,2.18706,2.118496,1.685071,2.911402,1.67463,2.233095,1.89839,2.012967,1.952003,2.042708,2.071377,2.047004,1.932485,2.5662,1.916036,1.914846,1.897206,2.081209,2.14278,2.179968,2.101547
